28583BA03BA2F50B DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 16 tacID: 0 Tcoarse: 3BA0 Ecoarse: 3BA Tfine: 0BD Efine: 10B 
30533B993B338124 DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B99 Ecoarse: 3B3 Tfine: 0E0 Efine: 124 
38923BA23BC37CE3 DATA   : TIGER: 7 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 24 tacID: 2 Tcoarse: 3BA2 Ecoarse: 3BC Tfine: 0DF Efine: 0E3 
38533B993B33A5C6 DATA   : TIGER: 7 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B99 Ecoarse: 3B3 Tfine: 0E9 Efine: 1C6 
38933BC83E2418E7 DATA   : TIGER: 7 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 24 tacID: 3 Tcoarse: 3BC8 Ecoarse: 3E2 Tfine: 106 Efine: 0E7 
E015380A19000000 TRAILER: LOCAL L1  FRAMENUM [23:0]: 00A9C0: GEMROC_ID: 0A TIGER_ID: 3 LOCAL L1 COUNT[2:0]: 1 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
40A0000000000021 Sequence.

C0000000220F6D71 HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000022 HitCount: 0F LOCAL L1 TIMESTAMP: 6D71
0A53680C0263D59F DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 680C Ecoarse: 026 Tfine: 0F5 Efine: 19F 
0253680B025361A7 DATA   : TIGER: 0 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 680B Ecoarse: 025 Tfine: 0D8 Efine: 1A7 
1A30675E37835D01 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 0C tacID: 0 Tcoarse: 675E Ecoarse: 378 Tfine: 0D7 Efine: 101 
1AC4675E37829115 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 31 tacID: 0 Tcoarse: 675E Ecoarse: 378 Tfine: 0A4 Efine: 115 
1AE3675E37840CEB DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 38 tacID: 3 Tcoarse: 675E Ecoarse: 378 Tfine: 103 Efine: 0EB 
1A3C67693833F8D7 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 0F tacID: 0 Tcoarse: 6769 Ecoarse: 383 Tfine: 0FE Efine: 0D7 
1A39675E37830D09 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 0E tacID: 1 Tcoarse: 675E Ecoarse: 378 Tfine: 0C3 Efine: 109 
1253680B02538140 DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 680B Ecoarse: 025 Tfine: 0E0 Efine: 140 
1A53680B02539565 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 680B Ecoarse: 025 Tfine: 0E5 Efine: 165 
20FA742B0454C607 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 3E tacID: 2 Tcoarse: 742B Ecoarse: 045 Tfine: 131 Efine: 207 
205074B60D03C989 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 74B6 Ecoarse: 0D0 Tfine: 0F2 Efine: 189 
20FC742403E53263 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 3F tacID: 0 Tcoarse: 7424 Ecoarse: 03E Tfine: 14C Efine: 263 
285074B70D142572 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 74B7 Ecoarse: 0D1 Tfine: 109 Efine: 172 
30E7741502F3D165 DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 39 tacID: 3 Tcoarse: 7415 Ecoarse: 02F Tfine: 0F4 Efine: 165 
305074B70D13A52D DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 74B7 Ecoarse: 0D1 Tfine: 0E9 Efine: 12D 
E015EBAA12000000 TRAILER: LOCAL L1  FRAMENUM [23:0]: 00AF5D: GEMROC_ID: 0A TIGER_ID: 2 LOCAL L1 COUNT[2:0]: 2 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
40A0000000000022 Sequence.

C00000002311754E HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000023 HitCount: 11 LOCAL L1 TIMESTAMP: 754E
0E506FE800240D86 DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 6FE8 Ecoarse: 002 Tfine: 103 Efine: 186 
06506FE70013999C DATA   : TIGER: 0 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 6FE7 Ecoarse: 001 Tfine: 0E6 Efine: 19C 
0E266FFF01951E0E DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 09 tacID: 2 Tcoarse: 6FFF Ecoarse: 019 Tfine: 147 Efine: 20E 
1EDF6F3E3584B90C DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 37 tacID: 3 Tcoarse: 6F3E Ecoarse: 358 Tfine: 12E Efine: 10C 
1E3D6F7C3963D0D8 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 0F tacID: 1 Tcoarse: 6F7C Ecoarse: 396 Tfine: 0F4 Efine: 0D8 
16506FE70013B127 DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 6FE7 Ecoarse: 001 Tfine: 0EC Efine: 127 
1EA86F6738149116 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 2A tacID: 0 Tcoarse: 6F67 Ecoarse: 381 Tfine: 124 Efine: 116 
1EF16F7C3963E50D DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 3C tacID: 1 Tcoarse: 6F7C Ecoarse: 396 Tfine: 0F9 Efine: 10D 
1E5F6F7B39539D27 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 17 tacID: 3 Tcoarse: 6F7B Ecoarse: 395 Tfine: 0E7 Efine: 127 
